corner,gain_db,idd_a,meets_all,meets_gain_55db,meets_gbw_5g,meets_pm_60deg,ncas_mid,ok,phase_margin_deg,tag,temp_c,ugf_hz,vbncas,vbncm,vbntail,vbpfold,vbptop,vcmref,vdd_v,von,vop
TT,44.146535595108645,0.0008002211364036318,False,False,False,True,0.3404412060650209,True,84.79080563011976,TT_v81_tm40,-40,3318321473.981329,0.7159570723484322,0.5188686484399377,0.5894455574364381,0.1339102293204215,0.2909926132622235,0.477839046021714,0.81,0.4909075436835193,0.4909074650884961
TT,48.638656011099314,0.0008855713506589787,False,False,False,True,0.2765236614682609,True,73.91949038133583,TT_v81_tp27,27,4383577805.044116,0.5841408596368801,0.4635155522073433,0.5701629128315027,0.1533052456008997,0.3321585489986306,0.4428498395380764,0.81,0.4489190211439446,0.4489404747422439
TT,46.68038479938091,0.000998511471016424,False,False,False,True,0.1807574950541618,True,66.92695858057488,TT_v81_tp125,125,4031193346.9378343,0.384387068791759,0.4425871282004051,0.5384460135235376,0.1830350485727677,0.3921973100011877,0.3931621647211401,0.81,0.393028671898842,0.3930286718618027
TT,54.81255851091247,0.0008884947605703136,False,False,True,True,0.3445880530446094,True,68.05707041356581,TT_v90_tm40,-40,5634236952.715612,0.7246215407088747,0.4968383352687066,0.5894456394964901,0.2065761757625673,0.3787288998164495,0.4821509632451972,0.9,0.4872337148272959,0.4872368352749702
TT,57.30982588228461,0.000966034675408089,True,True,True,True,0.2795151458055861,True,63.21213500613864,TT_v90_tp27,27,5072537126.441632,0.5904163201585574,0.4285739742061179,0.570163018814997,0.2255553081301878,0.4198232988720559,0.4471598843405065,0.9,0.4447720529700708,0.4447723281204489
TT,56.786040777563834,0.001070506687141494,False,True,False,True,0.1834642287291733,True,62.71737643685499,TT_v90_tp125,125,3163361670.4695573,0.3901184847681929,0.3121263380047629,0.538446136990422,0.2556232119072127,0.4797881686050077,0.3974854259818009,0.9,0.3820095418630512,0.3820095416058505
TT,60.729831340565646,0.0009565351862760797,False,True,True,False,0.347228995796411,True,58.48544621778183,TT_v99_tm40,-40,5494950397.755691,0.7301405031418344,0.4550945355777762,0.5894457312838525,0.2925613892207756,0.4670063791715308,0.4856701886423883,0.99,0.4826833224104472,0.4826833219952517
TT,61.61492491289428,0.001036605247019045,False,True,False,False,0.2818955332272393,True,59.95050487562861,TT_v99_tp27,27,3247631803.1081614,0.5954093246308811,0.362297469436582,0.570163123689406,0.310670238306342,0.5079831741088596,0.450751928825231,0.99,0.4389413730573729,0.438941372426603
TT,57.54744755680762,0.001153060604078652,False,True,False,True,0.185756534259932,True,84.59054785571982,TT_v99_tp125,125,344018329.5116506,0.3949716705164452,0.1569535450036723,0.5384462432304753,0.3401600366407262,0.5678208623676924,0.4011684564495239,0.99,0.3649120974429733,0.3649120936342801
SS,37.91618301157817,0.0007761068036005877,False,False,False,True,0.3498198583553997,True,89.92862447209735,SS_v81_tm40,-40,1945333553.8871658,0.737845064317853,0.5506816761409441,0.6301311023523818,0.1022815805526938,0.2691769462641347,0.5004213362334504,0.81,0.5165268437734027,0.5165268436692234
SS,43.31308764863038,0.0008563959030430844,False,False,False,True,0.2856178545423736,True,80.3645272261418,SS_v81_tp27,27,3482136616.232353,0.6051444668443637,0.5024653684203662,0.6122543729538176,0.1217535711248662,0.3116180664927102,0.4647151515447577,0.81,0.4744756240504373,0.4744756239459385
SS,32.753116208395205,0.0009922759031093767,False,False,False,True,0.188239597946345,True,72.92269787203958,SS_v81_tp125,125,3707155082.9099903,0.4015101789474412,0.78343758243258,0.5825588607738043,0.150216657997766,0.3734327837646636,0.4139814709669747,0.81,0.5197447706679005,0.5197447706413354
SS,51.85845055443252,0.000885529082836998,False,False,False,True,0.3550413341821087,True,75.93400702747104,SS_v90_tm40,-40,4706938537.184205,0.74877953900989,0.5386417287566996,0.6301311641212989,0.1445576953368156,0.3566370928344157,0.5050336015337864,0.9,0.5137829614466374,0.513782961580107
SS,54.38612849381465,0.0009514095582275916,False,False,True,True,0.2888497042688157,True,66.8668150747359,SS_v90_tp27,27,5020394386.229641,0.6119424196418999,0.4750386581146508,0.6122544647396295,0.1688919829414881,0.3990485449548823,0.4692760365789355,0.9,0.4711751368697227,0.4711751366255969
SS,52.53358097271757,0.001046500232959758,False,False,False,True,0.1910927559294436,True,62.536653805912096,SS_v90_tp125,125,3865037352.766022,0.4075679808374006,0.3828487067449548,0.5825589713037211,0.2021203098088513,0.4608419930169732,0.418491932139285,0.9,0.4097706590103935,0.409770659114204
SS,59.00758930738925,0.0009599264304867713,True,True,True,True,0.3579313883545278,True,61.864275222313836,SS_v99_tm40,-40,6149299739.899326,0.75483291880874,0.5098060094594626,0.6301312428870315,0.2019192264947831,0.4447752386735649,0.5086972336009302,0.99,0.5102399821887847,0.5102399818073181
SS,60.54792202709179,0.001021699943733887,False,True,False,False,0.2913702183649327,True,59.02736414164737,SS_v99_tp27,27,4809408641.84043,0.617243553330039,0.428186005864915,0.6122545640935515,0.231780529869803,0.4870776639648313,0.4730012668750985,0.99,0.4669094481972005,0.4669094477485662
SS,59.250191339892346,0.001122524846939022,False,True,False,True,0.1934815408340536,True,67.90077146609464,SS_v99_tp125,125,1457341719.4276927,0.4126390992392909,0.2486309033721206,0.5825590840715208,0.2702776417875802,0.5487619798212573,0.422283315581649,0.99,0.3993688687567017,0.3993688676905847
